"solution","culture","meaning"
"המסמר הבולט מקבל את הפטיש","יפנית","לא טוב להתבלט או לסטות מהקבוצה"
"האמן, אבל בדוק","רוסית","חשוב לתת אמון, אך לא בעיניים עצומות"
"כשאין דגים, גם סרטנים נחשבים לדגים","סינית","כשהמצב קשה, מסתפקים במה שיש"
"הביצה מלמדת את התרנגולת","אנגלית","מי שפחות מנוסה מנסה ללמד את המומחה"
"אל תשרוף את הגשר שאתה צריך לעבור עליו","אמריקאית","אל תפגע באנשים שתזדקק להם בעתיד"
"מי שקובר בור לאחרים, נופל בו בעצמו","גרמנית","מי שמתכנן רעה לאחרים, נפגע ממנה בעצמו"
"אל תמכור את העור לפני שהרגת את הדוב","צרפתית","אל תשמח או תתחייב לפני שהשגת את מבוקשך"
"כששני פילים נלחמים, הדשא נרמס","אפריקאית","כשחזקים נאבקים, החלשים הם שסובלים"
"טיפה אחר טיפה ממלאת את הכד","ערבית","מאמצים קטנים ומתמשכים מובילים לתוצאות גדולות"
"אל תספור את האפרוחים לפני שבקעו","אנגלית","אל תבטח בתוצאה לפני שהתרחשה בפועל"
"הזאב מחליף את פרוותו, אך לא את טבעו","לטינית","האופי הבסיסי של אדם אינו משתנה באמת"
"מי שממהר, נכשל","לטינית","מי שפועל בפזיזות, טועה יותר"
"אם תעמוד מספיק זמן על גדת הנהר, תראה את גופת אויבך צפה","סינית","הזמן חושף צדק; אין צורך בנקמה חפוזה"
"העץ מתכופף כשהוא צעיר","פולנית","קל לעצב אדם או הרגל כשהם בתחילתם"
"החתול אינו עוזב את הבית שבו יש חלב","הודית","אנשים נשארים במקום שבו הם מקבלים תועלת"
"מי שחופר באר, לא צמא למים","פרסית","החכם מתכונן לעתיד ומונע מצוקה"
"הלב רואה טוב יותר מהעיניים","איטלקית","רגש ואינטואיציה חדים יותר מהיגיון יבש"
"האבן המתגלגלת אינה מעלה טחב","אנגלית","מי שמשנה לעיתים קרובות מקום או עיסוק לא מתקדם באמת"
"כל קוף רואה את יופיו בעיני עצמו","טורקית","כל אחד חושב שהדרך שלו היא הנכונה"
"הדגים לא רואים את המים שבהם הם שוחים","אינדונזית","קשה להבחין במה שמקיף אותך תמיד"
"כשאין רוח, אפילו העלה אינו זז","הודית","שום דבר לא קורה בלי סיבה"
"הנחש שאינו יכול לשנות את עורו מת","גרמנית","מי שלא משתנה, קופא במקום ונכחד"
"אל תבכה על חלב שנשפך","אנגלית","אין טעם להצטער על מה שכבר קרה"
"הזאב שבע, והכבש שלם","יוונית","שלום אמיתי הוא כששני הצדדים יוצאים מרוצים"
"האור הבהיר ביותר מטיל את הצל העמוק ביותר","יפנית","גם במה שנראה טוב לחלוטין מסתתר חסרון"
"אם אתה רוצה ללכת מהר – לך לבד; אם אתה רוצה להגיע רחוק – לך ביחד","אפריקאית","שיתוף פעולה מוביל להצלחה ממושכת יותר"
"הקיר יש לו אוזניים","צרפתית","תיזהר במה שאתה אומר – גם כשאתה חושב שאיש לא שומע"
"מי שלא טועם מר, לא יודע מהו מתוק","ערבית","רק אחרי קשיים אפשר להעריך הצלחה"
"הנעל שיושבת על רגל אחת, לוחצת על אחרת","ספרדית","מה שמתאים לאדם אחד, לא בהכרח מתאים לאחר"
"אין ורד בלי קוצים","לטינית","כל דבר טוב מלווה בקושי כלשהו"
"שקט עדיף על אלף מילים ריקות","רוסית","עדיף לשתוק מאשר לדבר דברי הבל"
"היד העליונה טובה מן היד התחתונה","ערבית / אסלאם (חדית')","עדיף להיות נותן מאשר מקבל"
"אל תכניס את האף איפה שהלב לא רוצה","אוקראינית","אל תתערב בעניינים שאינם נוגעים לך"
"גם למסמר קטן יש צל","קוריאנית","דברים קטנים יכולים להשפיע"
"הדרך לגיהנום רצופה כוונות טובות","אנגלית","כוונות טובות אינן מספיקות ללא מעשים נכונים"
"הסיר קורא לקומקום שחור","אנגלית","טוען לאחר על פגם שקיים אצלו עצמו"
"מילים מתוקות אינן מבשלות אורז","סינית","דיבורים לבד לא משיגים תוצאות"
"עץ גבוה מושך רוחות חזקות","סינית","מי שבחזית מושך עליו ביקורת וסכנה"
"מי שמפחד ממוקשים, לא רוקד","בלקנית","בלי סיכון אין הצלחה"
"חכמה באה עם הגשמים","אתיופית","הזמן והניסיון מביאים תבונה"
"פה ששומר – ראש שקט","מרוקאית יהודית","שקול את דבריך כדי להימנע מצרות"
"הבטן השבעה אינה מאמינה לרעבה","פולנית","קשה להבין מצוקת הזולת כשאתה בשפע"
"הניסיון הוא המורה הטוב ביותר","רומית","לומדים הכי הרבה מהתנסות אישית"
"אל תתפור חליפה לפני שיש בד","בוכרית","אל תתכנן מעבר למה שיש בידך"
"הנמלה קטנה אך חוררת את ההר","נפאלית","מאמץ קטן ומתמיד מנצח קשיים גדולים"
"מי שרודף שני ארנבים, לא תופס אף אחד","רוסית","התפזרות מונעת הצלחה"
"הדג מסריח מהראש","טורקית","השחיתות מתחילה מההנהגה"
"מי שזורע רוח, יקצור סופה","תנכית","מעשים רעים מולידים תוצאות קשות"
"ידיים רבות עושות עבודה קלה","אנגלית","שיתוף פעולה מקל על המלאכה"
"טוב שכן קרוב מאח רחוק","עברית מקראית","ערכם של קשרים קרובים בסמוך"
"מי שלא נוהם לא מקבל חלב","ניגרית","מי שלא מבקש או דורש, לא יקבל"
